,Date,Value,USD(PM)
0,2016/9/11,621.65,0.0
1,2016/9/12,609.67,0.0
2,2016/9/13,610.92,0.0
3,2016/9/14,608.82,0.0
4,2016/9/15,610.38,0.0
5,2016/9/16,609.11,0.0
6,2016/9/17,607.04,0.0
7,2016/9/18,611.58,0.0
8,2016/9/19,610.19,0.0
9,2016/9/20,608.66,0.0
10,2016/9/21,598.88,0.0
11,2016/9/22,597.42,0.0
12,2016/9/23,594.08,0.0
13,2016/9/24,603.88,0.0
14,2016/9/25,601.74,0.0
15,2016/9/26,598.98,0.0
16,2016/9/27,605.96,0.0
17,2016/9/28,605.67,0.0
18,2016/9/29,603.85,0.0
19,2016/9/30,609.39,0.0
20,2016/10/1,614.82,0.0
21,2016/10/2,612.98,0.0
22,2016/10/3,611.85,0.0
23,2016/10/4,609.62,0.0
24,2016/10/5,607.18,0.0
25,2016/10/6,612.08,0.0
26,2016/10/7,617.21,0.0
27,2016/10/8,614.74,0.0
28,2016/10/9,615.65,0.0
29,2016/10/10,617.54,0.0
30,2016/10/11,614.77,0.0
31,2016/10/12,635.01,0.0
32,2016/10/13,635.96,0.0
33,2016/10/14,634.02,0.0
34,2016/10/15,637.94,0.0
35,2016/10/16,641.42,0.0
36,2016/10/17,638.97,0.0
37,2016/10/18,636.29,0.0
38,2016/10/19,629.25,0.0
39,2016/10/20,627.72,0.0
40,2016/10/21,631.92,0.0
41,2016/10/22,655.48,0.0
42,2016/10/23,653.25,0.0
43,2016/10/24,651.39,0.0
44,2016/10/25,655.31,0.0
45,2016/10/26,651.45,0.0
46,2016/10/27,682.22,0.0
47,2016/10/28,687.68,0.0
48,2016/10/29,685.91,0.0
49,2016/10/30,698.0,0.0
50,2016/10/31,702.0,0.0
51,2016/11/1,697.01,0.0
52,2016/11/2,733.33,0.0
53,2016/11/3,686.17,0.0
54,2016/11/4,683.69,0.0
55,2016/11/5,704.79,0.0
56,2016/11/6,712.0,0.0
57,2016/11/7,709.96,0.0
58,2016/11/8,708.97,0.0
59,2016/11/9,720.93,0.0
60,2016/11/10,721.5,0.0
61,2016/11/11,715.45,0.0
62,2016/11/12,703.71,0.0
63,2016/11/13,702.28,0.0
64,2016/11/14,706.46,0.0
65,2016/11/15,710.91,0.0
66,2016/11/16,711.73,0.0
67,2016/11/17,736.96,0.0
68,2016/11/18,747.52,0.0
69,2016/11/19,748.98,0.0
70,2016/11/20,729.06,0.0
71,2016/11/21,738.53,0.0
72,2016/11/22,736.97,0.0
73,2016/11/23,741.63,0.0
74,2016/11/24,737.45,0.0
75,2016/11/25,735.64,0.0
76,2016/11/26,733.67,0.0
77,2016/11/27,727.96,0.0
78,2016/11/28,727.31,0.0
79,2016/11/29,732.71,0.0
80,2016/11/30,742.69,0.0
81,2016/12/1,742.05,0.0
82,2016/12/2,772.43,0.0
83,2016/12/3,764.33,0.0
84,2016/12/4,762.97,0.0
85,2016/12/5,754.63,0.0
86,2016/12/6,756.62,0.0
87,2016/12/7,758.99,0.0
88,2016/12/8,769.72,0.0
89,2016/12/9,770.02,0.0
90,2016/12/10,769.08,0.0
91,2016/12/11,777.0,0.0
92,2016/12/12,777.0,0.0
93,2016/12/13,777.99,0.0
94,2016/12/14,774.89,0.0
95,2016/12/15,776.75,0.0
96,2016/12/16,775.88,0.0
97,2016/12/17,788.7,0.0
98,2016/12/18,788.4,0.0
99,2016/12/19,788.67,0.0
100,2016/12/20,793.09,0.0
101,2016/12/21,824.21,0.0
102,2016/12/22,834.97,0.0
103,2016/12/23,901.31,0.0
104,2016/12/24,891.61,0.0
105,2016/12/25,892.6,0.0
106,2016/12/26,897.33,0.0
107,2016/12/27,930.37,0.0
108,2016/12/28,930.34,0.0
109,2016/12/29,963.38,0.0
110,2016/12/30,952.15,0.0
111,2016/12/31,958.12,0.0
112,2017/1/1,997.72,0.0
113,2017/1/2,1015.97,0.0
114,2017/1/3,1013.42,0.0
115,2017/1/4,1126.76,0.0
116,2017/1/5,994.67,0.0
117,2017/1/6,999.65,0.0
118,2017/1/7,896.83,0.0
119,2017/1/8,908.14,0.0
120,2017/1/9,910.49,0.0
121,2017/1/10,906.05,0.0
122,2017/1/11,785.22,0.0
123,2017/1/12,780.92,0.0
124,2017/1/13,826.29,0.0
125,2017/1/14,817.91,0.0
126,2017/1/15,819.55,0.0
127,2017/1/16,830.5,0.0
128,2017/1/17,903.84,0.0
129,2017/1/18,906.6,0.0
130,2017/1/19,895.798875,0.0
131,2017/1/20,893.6210875,0.0
132,2017/1/21,895.64,0.0
133,2017/1/22,918.603625,0.0
134,2017/1/23,922.0736125,0.0
135,2017/1/24,919.97,0.0
136,2017/1/25,893.045625,0.0
137,2017/1/26,915.95625,0.0
138,2017/1/27,915.05,0.0
139,2017/1/28,920.31225,0.0
140,2017/1/29,915.933,0.0
141,2017/1/30,912.19,0.0
142,2017/1/31,964.706075,0.0
143,2017/2/1,979.703875,0.0
144,2017/2/2,983.42,0.0
145,2017/2/3,1013.027,0.0
146,2017/2/4,1030.999413,0.0
147,2017/2/5,1034.07,0.0
148,2017/2/6,1024.01375,0.0
149,2017/2/7,1050.11,0.0
150,2017/2/8,1052.84,0.0
151,2017/2/9,976.103,0.0
152,2017/2/10,999.1035,0.0
153,2017/2/11,997.59,0.0
154,2017/2/12,1000.604625,0.0
155,2017/2/13,999.877375,0.0
156,2017/2/14,1001.2,0.0
157,2017/2/15,1012.325988,0.0
158,2017/2/16,1035.208125,0.0
159,2017/2/17,1035.2,0.0
160,2017/2/18,1056.637138,0.0
161,2017/2/19,1052.779286,0.0
162,2017/2/20,1050.87,0.0
163,2017/2/21,1123.788429,0.0
164,2017/2/22,1123.223188,0.0
165,2017/2/23,1130.01,0.0
166,2017/2/24,1174.86625,0.0
167,2017/2/25,1150.605714,0.0
168,2017/2/26,1150.37,0.0
169,2017/2/27,1190.75195,0.0
170,2017/2/28,1187.565286,0.0
171,2017/3/1,1190.89,0.0
172,2017/3/2,1259.410817,0.0
173,2017/3/3,1285.14,0.0
174,2017/3/4,1287.0,0.0
175,2017/3/5,1270.9333,0.0
176,2017/3/6,1275.197375,0.0
177,2017/3/7,1279.5,0.0
178,2017/3/8,1157.3933,0.0
179,2017/3/9,1192.469143,0.0
180,2017/3/10,1192.09,0.0
181,2017/3/11,1179.159875,0.0
182,2017/3/12,1227.494625,0.0
183,2017/3/13,1227.68,0.0
184,2017/3/14,1245.370786,0.0
185,2017/3/15,1257.399625,0.0
186,2017/3/16,1257.0,0.0
187,2017/3/17,1091.171888,0.0
188,2017/3/18,952.2323625,0.0
189,2017/3/19,967.69,0.0
190,2017/3/20,1049.084488,0.0
191,2017/3/21,1118.630043,0.0
192,2017/3/22,1113.0,0.0
193,2017/3/23,1038.789,0.0
194,2017/3/24,941.9197143,0.0
195,2017/3/25,927.93,0.0
196,2017/3/26,956.7863125,0.0
197,2017/3/27,1037.22925,0.0
198,2017/3/28,1041.04,0.0
199,2017/3/29,1040.5755,0.0
200,2017/3/30,1037.90455,0.0
201,2017/3/31,1034.74,0.0
202,2017/4/1,1086.929571,0.0
203,2017/4/2,1099.169125,0.0
204,2017/4/3,1079.99,0.0
205,2017/4/4,1141.600363,0.0
206,2017/4/5,1133.079314,0.0
207,2017/4/6,1133.53,0.0
208,2017/4/7,1190.45425,0.0
209,2017/4/8,1181.149838,0.0
210,2017/4/9,1184.03,0.0
211,2017/4/10,1207.744875,0.0
212,2017/4/11,1226.617038,0.0
213,2017/4/12,1219.09,0.0
214,2017/4/13,1180.023713,0.0
215,2017/4/14,1185.260057,0.0
216,2017/4/15,1170.36,0.0
217,2017/4/16,1186.927413,0.0
218,2017/4/17,1205.634875,0.0
219,2017/4/18,1176.97,0.0
220,2017/4/19,1217.930088,0.0
221,2017/4/20,1241.686325,0.0
222,2017/4/21,1236.63,0.0
223,2017/4/22,1261.311225,0.0
224,2017/4/23,1257.988113,0.0
225,2017/4/24,1240.84,0.0
226,2017/4/25,1279.414688,0.0
227,2017/4/26,1309.109875,0.0
228,2017/4/27,1288.02,0.0
229,2017/4/28,1331.294429,0.0
230,2017/4/29,1334.979038,0.0
231,2017/4/30,1333.0,0.0
232,2017/5/1,1417.172813,0.0
233,2017/5/2,1452.076288,0.0
234,2017/5/3,1447.55,0.0
235,2017/5/4,1508.292125,0.0
236,2017/5/5,1533.335071,0.0
237,2017/5/6,1518.75,0.0
238,2017/5/7,1535.868429,0.0
239,2017/5/8,1640.619225,0.0
240,2017/5/9,1651.1,0.0
241,2017/5/10,1762.88625,0.0
242,2017/5/11,1820.990563,0.0
243,2017/5/12,1829.0,0.0
244,2017/5/13,1771.920013,0.0
245,2017/5/14,1776.3165,0.0
246,2017/5/15,1780.0,0.0
247,2017/5/16,1739.031975,0.0
248,2017/5/17,1807.485063,0.0
249,2017/5/18,1783.98,0.0
250,2017/5/19,1961.520488,0.0
251,2017/5/20,2052.909788,0.0
252,2017/5/21,2008.84,0.0
253,2017/5/22,2090.662313,0.0
254,2017/5/23,2287.710288,0.0
255,2017/5/24,2256.32,0.0
256,2017/5/25,2387.206286,0.0
257,2017/5/26,2211.976857,0.0
258,2017/5/27,2279.82,0.0
259,2017/5/28,2192.9808,0.0
260,2017/5/29,2275.9307,0.0
261,2017/5/30,2290.02,0.0
262,2017/5/31,2285.933914,0.0
263,2017/6/1,2399.242671,0.0
264,2017/6/2,2409.93,0.0
265,2017/6/3,2525.765158,0.0
266,2017/6/4,2516.173143,0.0
267,2017/6/5,2529.53,0.0
268,2017/6/6,2883.313697,0.0
269,2017/6/7,2664.920863,0.0
270,2017/6/8,2683.03,0.0
271,2017/6/9,2827.4913,0.0
272,2017/6/10,2845.372857,0.0
273,2017/6/11,2898.63,0.0
274,2017/6/12,2657.675063,0.0
275,2017/6/13,2748.185086,0.0
276,2017/6/14,2706.0,0.0
277,2017/6/15,2442.48025,0.0
278,2017/6/16,2464.959814,0.0
279,2017/6/17,2477.94,0.0
280,2017/6/18,2507.389252,0.0
281,2017/6/19,2617.210263,0.0
282,2017/6/20,2600.0,0.0
283,2017/6/21,2671.04325,0.0
284,2017/6/22,2727.288013,0.0
285,2017/6/23,2713.48,0.0
286,2017/6/24,2589.164888,0.0
287,2017/6/25,2512.366286,0.0
288,2017/6/26,2502.03,0.0
289,2017/6/27,2517.903114,0.0
290,2017/6/28,2585.349186,0.0
291,2017/6/29,2558.3,0.0
292,2017/6/30,2477.641375,0.0
293,2017/7/1,2501.191343,0.0
294,2017/7/2,2421.26,0.0
295,2017/7/3,2561.225429,0.0
296,2017/7/4,2599.729838,0.0
297,2017/7/5,2598.89,0.0
298,2017/7/6,2609.96775,0.0
299,2017/7/7,2491.201214,0.0
300,2017/7/8,2502.86,0.0
301,2017/7/9,2536.238938,0.0
302,2017/7/10,2366.170143,0.0
303,2017/7/11,2327.09,0.0
304,2017/7/12,2385.748571,0.0
305,2017/7/13,2354.783417,0.0
306,2017/7/14,2338.49,0.0
307,2017/7/15,2058.9956,0.0
308,2017/7/16,1931.2143,0.0
309,2017/7/17,1910.96,0.0
310,2017/7/18,2320.12225,0.0
311,2017/7/19,2264.7657,0.0
312,2017/7/20,2265.21,0.0
313,2017/7/21,2682.195363,0.0
314,2017/7/22,2807.609857,0.0
315,2017/7/23,2825.51,0.0
316,2017/7/24,2751.821029,0.0
317,2017/7/25,2560.997917,0.0
318,2017/7/26,2564.3,0.0
319,2017/7/27,2647.625,0.0
320,2017/7/28,2781.636583,0.0
321,2017/7/29,2784.8,0.0
322,2017/7/30,2745.955417,0.0
323,2017/7/31,2866.431667,0.0
324,2017/8/1,2862.9,0.0
325,2017/8/2,2693.633983,0.0
326,2017/8/3,2794.117717,0.0
327,2017/8/4,2790.0,0.0
328,2017/8/5,3218.115017,0.0
329,2017/8/6,3252.562533,0.0
330,2017/8/7,3210.2,0.0
331,2017/8/8,3457.374333,0.0
332,2017/8/9,3357.326317,0.0
333,2017/8/10,3340.28,0.0
334,2017/8/11,3632.506667,0.0
335,2017/8/12,3852.802914,0.0
336,2017/8/13,3868.52,0.0
337,2017/8/14,4282.992,0.0
338,2017/8/15,4217.028329,0.0
339,2017/8/16,4179.97,0.0
340,2017/8/17,4328.725717,0.0
341,2017/8/18,4130.440067,0.0
342,2017/8/19,4104.71,0.0
343,2017/8/20,4157.958033,0.0
344,2017/8/21,4043.722,0.0
345,2017/8/22,3986.28,0.0
346,2017/8/23,4174.95,0.0
347,2017/8/24,4340.316717,0.0
348,2017/8/25,4331.77,0.0
349,2017/8/26,4360.513317,0.0
350,2017/8/27,4354.308333,0.0
351,2017/8/28,4339.05,0.0
352,2017/8/29,4607.98545,0.0
353,2017/8/30,4594.98785,0.0
354,2017/8/31,4582.52,0.0
355,2017/9/1,4911.740017,0.0
356,2017/9/2,4580.38748,0.0
357,2017/9/3,4585.57,0.0
358,2017/9/4,4344.098317,0.0
359,2017/9/5,4488.72014,0.0
360,2017/9/6,4385.02,0.0
361,2017/9/7,4654.6585,0.0
362,2017/9/8,4310.750183,0.0
363,2017/9/9,4312.26,0.0
364,2017/9/10,4329.955,0.0
365,2017/9/11,4248.090017,0.0
366,2017/9/12,4198.59,0.0
367,2017/9/13,3961.271267,0.0
368,2017/9/14,3319.63,0.0
369,2017/9/15,3216.43,0.0
370,2017/9/16,3763.62604,0.0
371,2017/9/17,3746.060783,0.0
372,2017/9/18,3678.53,0.0
373,2017/9/19,3943.413333,0.0
374,2017/9/20,3977.561667,0.0
375,2017/9/21,3894.48,0.0
376,2017/9/22,3637.50255,0.0
377,2017/9/23,3776.3869,0.0
378,2017/9/24,3777.62,0.0
379,2017/9/25,3942.555,0.0
380,2017/9/26,3910.307383,0.0
381,2017/9/27,3881.0,0.0
382,2017/9/28,4201.98905,0.0
383,2017/9/29,4193.574667,0.0
384,2017/9/30,4164.27,0.0
385,2017/10/1,4360.722967,0.0
386,2017/10/2,4386.88375,0.0
387,2017/10/3,4394.07,0.0
388,2017/10/4,4225.175,0.0
389,2017/10/5,4338.852,0.0
390,2017/10/6,4318.58,0.0
391,2017/10/7,4376.191667,0.0
392,2017/10/8,4602.280883,0.0
393,2017/10/9,4605.66,0.0
394,2017/10/10,4782.28,0.0
395,2017/10/11,4819.485767,0.0
396,2017/10/12,4822.17,0.0
397,2017/10/13,5563.806567,0.0
398,2017/10/14,5739.438733,0.0
399,2017/10/15,5825.99,0.0
400,2017/10/16,5711.205867,0.0
401,2017/10/17,5603.71294,0.0
402,2017/10/18,5594.66,0.0
403,2017/10/19,5727.6335,0.0
404,2017/10/20,5979.45984,0.0
405,2017/10/21,5986.44,0.0
406,2017/10/22,5983.18455,0.0
407,2017/10/23,5876.079867,0.0
408,2017/10/24,5900.59,0.0
409,2017/10/25,5669.622533,0.0
410,2017/10/26,5893.138417,0.0
411,2017/10/27,5889.82,0.0
412,2017/10/28,5776.69695,0.0
413,2017/10/29,6155.43402,0.0
414,2017/10/30,6136.49,0.0
415,2017/10/31,6388.645167,0.0
416,2017/11/1,6665.306683,0.0
417,2017/11/2,6751.98,0.0
418,2017/11/3,7197.72006,0.0
419,2017/11/4,7437.543317,0.0
420,2017/11/5,7365.99,0.0
421,2017/11/6,6989.071667,0.0
422,2017/11/7,7092.127233,0.0
423,2017/11/8,7128.64,0.0
424,2017/11/9,7158.03706,0.0
425,2017/11/10,6719.39785,0.0
426,2017/11/11,6569.22,0.0
427,2017/11/12,5716.301583,0.0
428,2017/11/13,6550.227533,0.0
429,2017/11/14,6493.63,0.0
430,2017/11/15,7301.42992,0.0
431,2017/11/16,7815.0307,0.0
432,2017/11/17,7868.77,0.0
433,2017/11/18,7817.140383,0.0
434,2017/11/19,8007.654067,0.0
435,2017/11/20,8049.72,0.0
436,2017/11/21,8059.8,0.0
437,2017/11/22,8268.035,0.0
438,2017/11/23,8236.72,0.0
439,2017/11/24,8250.978333,0.0
440,2017/11/25,8707.407267,0.0
441,2017/11/26,8768.8,0.0
442,2017/11/27,9718.29505,0.0
443,2017/11/28,9952.50882,0.0
444,2017/11/29,9919.0,0.0
445,2017/11/30,10147.372,0.0
446,2017/12/1,10883.912,0.0
447,2017/12/2,10879.88,0.0
448,2017/12/3,11332.622,0.0
449,2017/12/4,11584.83,0.0
450,2017/12/5,11591.22,0.0
451,2017/12/6,13540.98,0.0
452,2017/12/7,16501.97167,0.0
453,2017/12/8,16860.88,0.0
454,2017/12/9,15142.83415,0.0
455,2017/12/10,14869.805,0.0
456,2017/12/11,15068.95,0.0
457,2017/12/12,17276.39333,0.0
458,2017/12/13,16808.36667,0.0
459,2017/12/14,16252.31,0.0
460,2017/12/15,17771.9,0.0
461,2017/12/16,19498.68333,0.0
462,2017/12/17,19279.9,0.0
463,2017/12/18,18961.85667,0.0
464,2017/12/19,17737.11167,0.0
465,2017/12/20,17382.94,0.0
466,2017/12/21,16047.51,0.0
467,2017/12/22,15190.945,0.0
468,2017/12/23,13776.61,0.0
469,2017/12/24,13949.175,0.0
470,2017/12/25,14119.02833,0.0
471,2017/12/26,13740.94,0.0
472,2017/12/27,15589.32167,0.0
473,2017/12/28,14380.58167,0.0
474,2017/12/29,14214.01,0.0
475,2017/12/30,13215.574,0.0
476,2017/12/31,14165.575,0.0
477,2018/1/1,13796.0,0.0
478,2018/1/2,15005.85667,0.0
479,2018/1/3,15053.26167,0.0
480,2018/1/4,15039.24,0.0
481,2018/1/5,17174.12,0.0
482,2018/1/6,17319.198,0.0
483,2018/1/7,17155.95,0.0
484,2018/1/8,15265.90667,0.0
485,2018/1/9,14714.25333,0.0
486,2018/1/10,14437.42,0.0
487,2018/1/11,13296.794,0.0
488,2018/1/12,13912.882,0.0
489,2018/1/13,13791.19,0.0
490,2018/1/14,13852.92,0.0
491,2018/1/15,14012.196,0.0
492,2018/1/16,13554.14,0.0
493,2018/1/17,11116.94667,0.0
494,2018/1/18,11345.42333,0.0
495,2018/1/19,11174.82,0.0
496,2018/1/20,12950.79333,0.0
497,2018/1/21,11505.228,0.0
498,2018/1/22,11513.42,0.0
499,2018/1/23,11223.064,0.0
500,2018/1/24,11282.25833,0.0
501,2018/1/25,11392.03,0.0
502,2018/1/26,10969.815,0.0
503,2018/1/27,11524.77667,0.0
504,2018/1/28,11431.37,0.0
505,2018/1/29,11212.655,0.0
506,2018/1/30,10184.06167,0.0
507,2018/1/31,10082.52,0.0
508,2018/2/1,9083.258333,0.0
509,2018/2/2,8901.901667,0.0
510,2018/2/3,8852.73,0.0
511,2018/2/4,8400.648333,0.0
512,2018/2/5,6838.816667,0.0
513,2018/2/6,6925.46,0.0
514,2018/2/7,8099.958333,0.0
515,2018/2/8,8240.536667,0.0
516,2018/2/9,8245.08,0.0
517,2018/2/10,8319.876566,0.0
518,2018/2/11,8343.455,0.0
519,2018/2/12,8068.02,0.0
520,2018/2/13,8597.7675,0.0
521,2018/2/14,9334.633333,0.0
522,2018/2/15,9471.64,0.0
523,2018/2/16,10127.16167,0.0
524,2018/2/17,10841.99167,0.0
525,2018/2/18,11085.83,0.0
526,2018/2/19,11110.965,0.0
527,2018/2/20,11390.39167,0.0
528,2018/2/21,11245.98,0.0
529,2018/2/22,9931.071667,0.0
530,2018/2/23,10162.11667,0.0
531,2018/2/24,10171.3,0.0
532,2018/2/25,9696.593333,0.0
533,2018/2/26,10348.60333,0.0
534,2018/2/27,10319.46,0.0
535,2018/2/28,10370.165,0.0
536,2018/3/1,11009.38167,0.0
537,2018/3/2,10931.12,0.0
538,2018/3/3,11326.94833,0.0
539,2018/3/4,11430.18167,0.0
540,2018/3/5,11516.83,0.0
541,2018/3/6,10763.19833,0.0
542,2018/3/7,10118.058,0.0
543,2018/3/8,9920.46,0.0
544,2018/3/9,9089.278333,0.0
545,2018/3/10,8746.002,0.0
546,2018/3/11,8777.37,0.0
547,2018/3/12,9182.843333,0.0
548,2018/3/13,9154.7,0.0
549,2018/3/14,9153.54,0.0
550,2018/3/15,8358.121667,0.0
551,2018/3/16,8530.402,0.0
552,2018/3/17,8297.89,0.0
553,2018/3/18,8171.415,0.0
554,2018/3/19,8412.033333,0.0
555,2018/3/20,8605.64,0.0
556,2018/3/21,8947.753333,0.0
557,2018/3/22,8690.408333,0.0
558,2018/3/23,8725.37,0.0
559,2018/3/24,8662.378333,0.0
560,2018/3/25,8617.296667,0.0
561,2018/3/26,8457.96,0.0
562,2018/3/27,7876.195,0.0
563,2018/3/28,7960.38,0.0
564,2018/3/29,7950.61,0.0
565,2018/3/30,6882.531667,0.0
566,2018/3/31,6935.48,0.0
567,2018/4/1,6937.56,0.0
568,2018/4/2,7035.848333,0.0
569,2018/4/3,7410.435,0.0
570,2018/4/4,7426.48,0.0
571,2018/4/5,6826.51,0.0
572,2018/4/6,6603.876667,0.0
573,2018/4/7,6634.68,0.0
574,2018/4/8,7017.656667,0.0
575,2018/4/9,6699.273333,0.0
576,2018/4/10,6784.41,0.0
577,2018/4/11,6926.266667,0.0
578,2018/4/12,7847.845,0.0
579,2018/4/13,7941.46,0.0
580,2018/4/14,8036.511051,0.0
581,2018/4/15,8340.748333,0.0
582,2018/4/16,8368.1,0.0
583,2018/4/17,7895.416926,0.0
584,2018/4/18,8164.937426,0.0
585,2018/4/19,8175.96,0.0
586,2018/4/20,8852.718333,0.0
587,2018/4/21,8807.205,0.0
588,2018/4/22,8930.6,0.0
589,2018/4/23,8933.861667,0.0
590,2018/4/24,9555.542,0.0
591,2018/4/25,9658.11,0.0
592,2018/4/26,9258.398333,0.0
593,2018/4/27,9010.32,0.0
594,2018/4/28,8928.55,0.0
595,2018/4/29,9334.281667,0.0
596,2018/4/30,9259.57,0.0
597,2018/5/1,9239.55,0.0
598,2018/5/2,9221.426,0.0
599,2018/5/3,9639.268333,0.0
600,2018/5/4,9753.35,0.0
601,2018/5/5,9803.306667,0.0
602,2018/5/6,9630.136277,0.0
603,2018/5/7,9631.44,0.0
604,2018/5/8,9228.608333,0.0
605,2018/5/9,9322.041667,0.0
606,2018/5/10,9310.37,0.0
607,2018/5/11,8468.788,0.0
608,2018/5/12,8484.346667,0.0
609,2018/5/13,8463.52,0.0
610,2018/5/14,8652.038333,0.0
611,2018/5/15,8511.458,0.0
612,2018/5/16,8471.06,0.0
613,2018/5/17,8106.118333,0.0
614,2018/5/18,8240.055,0.0
615,2018/5/19,8239.08,0.0
616,2018/5/20,8507.406667,0.0
617,2018/5/21,8385.556187,0.0
618,2018/5/22,8396.63,0.0
619,2018/5/23,7555.74,0.0
620,2018/5/24,7566.193333,0.0
621,2018/5/25,7576.78,0.0
622,2018/5/26,7342.908333,0.0
623,2018/5/27,7361.831667,0.0
624,2018/5/28,7344.56,0.0
625,2018/5/29,7459.876667,0.0
626,2018/5/30,7385.395,0.0
627,2018/5/31,7386.72,0.0
628,2018/6/1,7535.146667,0.0
629,2018/6/2,7645.146667,0.0
630,2018/6/3,7637.14,0.0
631,2018/6/4,7500.273333,0.0
632,2018/6/5,7615.722142,0.0
633,2018/6/6,7619.43,0.0
634,2018/6/7,7676.271667,0.0
635,2018/6/8,7620.153333,0.0
636,2018/6/9,7615.54,0.0
637,2018/6/10,6776.888333,0.0
638,2018/6/11,6875.678333,0.0
639,2018/6/12,6879.31,0.0
